Slice,Count,Total Area,Average Size,%Area,Mean,Circ.,Solidity,IntDen
Result of Image 32 - WT#2 PL.tif,1039,126499.661,121.751,8.628,255,0.853,0.886,31046.596
Result of Image 32 - WT#3 PL.tif,1064,144909.319,136.193,10.774,255,0.822,0.880,34729.207
Result of Image 32 - WT#4 PL.tif,1377,173266.542,125.829,10.892,255,0.824,0.880,32086.397
Result of Image 68 - WT#3 BLA.tif,888,118160.774,133.064,11.336,255,0.831,0.884,33931.303
Result of Image 68 - WT#4 BLA.tif,896,111238.246,124.150,9.771,255,0.868,0.895,31658.206
Result of Image 68 - WT#5 BLA.tif,917,189026.787,206.136,15.371,255,0.825,0.892,52564.701
